Steps	Token	MedianRank	MeanSurprisal	StdevSurprisal	MeanNegSurprisal	StdevNegSurprisal	Accuracy	NumExamples
60000	exploring	23	7.133079528808594	nan	16.376129150390625	nan	0.0	1
60000	fined	0	0.8212568759918213	nan	24.254268646240234	nan	1.0	1
60000	of	0	0.6171329617500305	1.3145160675048828	16.0183162689209	4.873990535736084	0.888671875	512
60000	sob	2396	15.796520233154297	nan	20.59586524963379	nan	0.0	1
60000	the	0	0.583358883857727	0.9574002623558044	14.447810173034668	5.580298900604248	0.892578125	512
60000	variable	4482	17.21845054626465	nan	20.04022789001465	nan	0.0	1
60000	with	0	1.9879150390625	2.1900336742401123	16.304128646850586	5.38850212097168	0.623046875	512
80000	a	0	1.1500532627105713	1.8049286603927612	16.506357192993164	5.274855136871338	0.748046875	512
80000	by	0	1.3890962600708008	2.302408456802368	17.029813766479492	5.22888708114624	0.74609375	512
80000	constraint	4115	18.52515983581543	nan	29.871124267578125	nan	0.0	1
80000	exploring	52	8.878055572509766	nan	19.028057098388672	nan	0.0	1
80000	fined	0	0.1765601634979248	nan	24.4372501373291	nan	1.0	1
80000	of	0	0.594854474067688	1.2977104187011719	15.903406143188477	4.79953670501709	0.904296875	512
80000	sob	1264	13.883355140686035	nan	21.11387825012207	nan	0.0	1
80000	the	0	0.5094968676567078	0.9330217242240906	14.210071563720703	5.560006618499756	0.923828125	512
80000	variable	4524	17.076772689819336	nan	20.99636459350586	nan	0.0	1
80000	with	0	1.9259568452835083	2.1815907955169678	16.410486221313477	5.429717540740967	0.6015625	512
100000	a	0	0.9845026731491089	1.5915966033935547	16.437795639038086	5.440473556518555	0.77734375	512
100000	by	0	1.3266961574554443	2.2511038780212402	16.94782257080078	5.164115905761719	0.751953125	512
100000	constraint	1564	14.965991973876953	nan	29.853946685791016	nan	0.0	1
100000	exploring	55	8.955321311950684	nan	17.464696884155273	nan	0.0	1
100000	fined	0	0.12760786712169647	nan	27.566831588745117	nan	1.0	1
100000	of	0	0.5355866551399231	1.2301737070083618	15.687594413757324	4.775611400604248	0.912109375	512
100000	sob	1125	14.23808765411377	nan	21.92012596130371	nan	0.0	1
100000	the	0	0.5555368065834045	0.9282975196838379	14.398481369018555	5.560908794403076	0.8984375	512
100000	variable	5926	17.5745906829834	nan	23.20730972290039	nan	0.0	1
100000	with	0	1.8735322952270508	2.087022542953491	16.639892578125	5.355348587036133	0.6171875	512
120000	a	0	1.1178277730941772	1.707303762435913	16.552736282348633	5.374745845794678	0.75	512
120000	by	0	1.3192108869552612	2.1727800369262695	17.2322998046875	5.2408766746521	0.75390625	512
120000	constraint	1591	15.940936088562012	nan	29.558544158935547	nan	0.0	1
120000	exploring	45	8.638309478759766	nan	18.368885040283203	nan	0.0	1
120000	fined	0	0.1069004237651825	nan	27.753267288208008	nan	1.0	1
120000	of	0	0.5008702278137207	1.1618157625198364	16.067407608032227	4.79971981048584	0.919921875	512
120000	sob	659	13.227194786071777	nan	22.490873336791992	nan	0.0	1
120000	the	0	0.5324468016624451	1.0193477869033813	14.37313461303711	5.540707588195801	0.904296875	512
120000	variable	5574	17.44525909423828	nan	18.846622467041016	nan	0.0	1
120000	with	0	1.7759711742401123	2.09891414642334	16.818790435791016	5.321380615234375	0.6328125	512
140000	a	0	1.0668913125991821	1.7387161254882812	17.15175437927246	5.449711322784424	0.765625	512
140000	by	0	1.418799877166748	2.37931227684021	17.597530364990234	5.18355131149292	0.732421875	512
140000	constraint	2198	16.969043731689453	nan	29.625581741333008	nan	0.0	1
140000	exploring	30	8.008390426635742	nan	19.112634658813477	nan	0.0	1
140000	fined	0	0.030533989891409874	nan	27.308805465698242	nan	1.0	1
140000	of	0	0.42073214054107666	1.0392214059829712	16.115623474121094	4.897801399230957	0.927734375	512
140000	sob	714	13.948799133300781	nan	22.212039947509766	nan	0.0	1
140000	the	0	0.5585624575614929	0.9874810576438904	14.90575885772705	5.608791351318359	0.89453125	512
140000	variable	3790	16.463823318481445	nan	19.12650489807129	nan	0.0	1
140000	with	0	1.7058403491973877	2.1167330741882324	17.043289184570312	5.489812850952148	0.6484375	512
160000	a	0	0.8916600942611694	1.497182846069336	16.92636489868164	5.5987935066223145	0.798828125	512
160000	by	0	1.2951102256774902	2.180284261703491	17.56387710571289	5.385664463043213	0.76171875	512
160000	constraint	1273	15.497221946716309	nan	29.886619567871094	nan	0.0	1
160000	exploring	6	5.751021862030029	nan	18.059757232666016	nan	0.0	1
160000	fined	0	0.04149286076426506	nan	23.100950241088867	nan	1.0	1
160000	of	0	0.447372704744339	1.0890840291976929	16.368003845214844	4.758563041687012	0.92578125	512
160000	sob	1648	15.507466316223145	nan	22.38100814819336	nan	0.0	1
160000	the	0	0.4994766414165497	0.8966885805130005	15.067292213439941	5.668175220489502	0.90625	512
160000	variable	4697	16.511072158813477	nan	21.031917572021484	nan	0.0	1
160000	with	0	1.6941696405410767	2.022625684738159	16.889129638671875	5.367039680480957	0.623046875	512
180000	a	0	0.9789143800735474	1.6086609363555908	17.044055938720703	5.539350509643555	0.775390625	512
180000	by	0	1.222937822341919	2.0887198448181152	17.77482795715332	5.2745819091796875	0.771484375	512
180000	constraint	1634	16.293354034423828	nan	29.878232955932617	nan	0.0	1
